model,repo_id,corpus,lang,sentences,words,tokens,fertility,chars_per_token,bytes_per_token,split_word_rate,unique_tokens,vocab_size
EuroLLM-1.7B,utter-project/EuroLLM-1.7B,de_news,de,100000,1542034,2551046,1.6543,4.2085,4.2857,0.3537,28321,128000
EuroLLM-1.7B,utter-project/EuroLLM-1.7B,de_wikipedia,de,100000,1536043,2659470,1.7314,4.0582,4.1268,0.3715,33459,128000
EuroLLM-1.7B,utter-project/EuroLLM-1.7B,en_news,en,100000,1975354,2756954,1.3957,4.2427,4.2847,0.2393,33279,128000
EuroLLM-1.7B,utter-project/EuroLLM-1.7B,es_news,es,100000,2234718,3136723,1.4036,4.2477,4.3482,0.2680,29735,128000
Qwen3-1.7B,Qwen/Qwen3-1.7B,de_news,de,100000,1542034,3075048,1.9942,3.4914,3.5554,0.4601,23831,151936
Qwen3-1.7B,Qwen/Qwen3-1.7B,de_wikipedia,de,100000,1536043,3225757,2.1000,3.3458,3.4023,0.4877,27617,151936
Qwen3-1.7B,Qwen/Qwen3-1.7B,en_news,en,100000,1975354,2582158,1.3072,4.5299,4.5748,0.1984,46368,151936
Qwen3-1.7B,Qwen/Qwen3-1.7B,es_news,es,100000,2234718,3601684,1.6117,3.6994,3.7868,0.3785,24294,151936
Qwen3.5-0.8B,Qwen/Qwen3.5-0.8B,de_news,de,100000,1542034,2596506,1.6838,4.1348,4.2107,0.3523,32846,248320
Qwen3.5-0.8B,Qwen/Qwen3.5-0.8B,de_wikipedia,de,100000,1536043,2748407,1.7893,3.9269,3.9932,0.3821,38144,248320
Qwen3.5-0.8B,Qwen/Qwen3.5-0.8B,en_news,en,100000,1975354,2574908,1.3035,4.5426,4.5877,0.1974,49577,248320
Qwen3.5-0.8B,Qwen/Qwen3.5-0.8B,es_news,es,100000,2234718,3119810,1.3961,4.2708,4.3717,0.2548,34136,248320
Qwen3.5-2B,Qwen/Qwen3.5-2B,de_news,de,100000,1542034,2596506,1.6838,4.1348,4.2107,0.3523,32846,248320
Qwen3.5-2B,Qwen/Qwen3.5-2B,de_wikipedia,de,100000,1536043,2748407,1.7893,3.9269,3.9932,0.3821,38144,248320
Qwen3.5-2B,Qwen/Qwen3.5-2B,en_news,en,100000,1975354,2574908,1.3035,4.5426,4.5877,0.1974,49577,248320
Qwen3.5-2B,Qwen/Qwen3.5-2B,es_news,es,100000,2234718,3119810,1.3961,4.2708,4.3717,0.2548,34136,248320
